this is the 0 iteration

x = None, y = 0, y_pred = None, weight = None, 
x = 0, y = `, y_pred = [], weight = 0.0, 
x = `, y = 1, y_pred = [], weight = 0.0, 
x = 1, y = `, y_pred = [], weight = 0.0, 
x = `, y = 2, y_pred = ['1'], weight = 0.07142857142857142, 
x = 2, y = `, y_pred = ['`'], weight = 0.07142857142857142, 
x = `, y = 3, y_pred = ['2'], weight = 0.17857142857142858, 
x = 3, y = `, y_pred = ['`'], weight = 0.13392857142857142, 
x = `, y = 4, y_pred = ['2', '3'], weight = 0.09523809523809523, 
x = 4, y = `, y_pred = ['`'], weight = 0.11688311688311684, 
x = `, y = 5, y_pred = ['2', '3', '4'], weight = 0.06547619047619047, 
x = 5, y = `, y_pred = ['`'], weight = 0.10714285714285714, 
x = `, y = 6, y_pred = ['2', '3', '4', '5'], weight = 0.049999999999999996, 
x = 6, y = `, y_pred = ['`'], weight = 0.10084033613445378, 
x = `, y = 7, y_pred = ['2', '3', '4', '5', '6'], weight = 0.04047619047619048, 
x = 7, y = `, y_pred = ['`'], weight = 0.09642857142857143, 
x = `, y = 8, y_pred = ['2', '3', '4', '5', '6', '7'], weight = 0.03401360544217687, 
x = 8, y = `, y_pred = ['`'], weight = 0.09316770186335402, 
x = `, y = 9, y_pred = ['2', '3', '4', '5', '6', '7', '8'], weight = 0.02933673469387755, 
x = 9, y = `, y_pred = ['`'], weight = 0.09065934065934061, 
x = `, y = 1, y_pred = ['2', '3', '4', '5', '6', '7', '8', '9'], weight = 0.025793650793650792, 
x = 1, y = 0, y_pred = ['`'], weight = 0.22943722943722938, 
x = 0, y = `, y_pred = ['2'], weight = 0.15079365079365079, 
x = `, y = 1, y_pred = ['1'], weight = 0.1768626110731374, 
x = 1, y = 1, y_pred = ['`'], weight = 0.41652476412666206, 
x = 1, y = `, y_pred = ['`'], weight = 0.1124480664749121, 
x = `, y = 1, y_pred = ['1'], weight = 0.13116917811088435, 
x = 1, y = 2, y_pred = ['`'], weight = 0.1947054791711975, 
x = 2, y = `, y_pred = ['`'], weight = 0.16275564814284135, 
x = `, y = 1, y_pred = ['3'], weight = 0.1500904638334354, 
x = 1, y = 3, y_pred = ['`'], weight = 0.21308175383867903, 
x = 3, y = `, y_pred = ['`'], weight = 0.16843269843841774, 
x = `, y = 1, y_pred = ['4'], weight = 0.1500449237551354, 
x = 1, y = 4, y_pred = ['`'], weight = 0.20040191921281084, 
x = 4, y = `, y_pred = ['`'], weight = 0.17110391619928433, 
x = `, y = 1, y_pred = ['5'], weight = 0.15002239140228826, 
x = 1, y = 5, y_pred = ['`'], weight = 0.19162509766115313, 
x = 5, y = `, y_pred = ['`'], weight = 0.17216968160976373, 
x = `, y = 1, y_pred = ['6'], weight = 0.15001117818019577, 
x = 1, y = 6, y_pred = ['`'], weight = 0.18517791093174432, 
x = 6, y = `, y_pred = ['`'], weight = 0.17253798205090437, 
x = `, y = 1, y_pred = ['7'], weight = 0.15000558472020553, 
x = 1, y = 7, y_pred = ['`'], weight = 0.18023964905112339, 
x = 7, y = `, y_pred = ['`'], weight = 0.17258530562301116, 
x = `, y = 1, y_pred = ['8'], weight = 0.15000279126891083, 
x = 1, y = 8, y_pred = ['`'], weight = 0.1763352304168002, 
x = 8, y = `, y_pred = ['`'], weight = 0.1724881035290654, 
x = `, y = 1, y_pred = ['9'], weight = 0.1500013953618173, 
x = 1, y = 9, y_pred = ['`'], weight = 0.17317033385290173, 
x = 9, y = `, y_pred = ['`'], weight = 0.17193359474415668, 
x = `, y = 2, y_pred = ['1'], weight = 0.270853151573746, 
x = 2, y = 0, y_pred = ['`'], weight = 0.15867953008641747, 
x = 0, y = `, y_pred = ['`'], weight = 0.16358357286585284, 
x = `, y = 2, y_pred = ['1'], weight = 0.17178626587375218, 
x = 2, y = 1, y_pred = ['`'], weight = 0.1664349411955055, 
x = 1, y = `, y_pred = ['`'], weight = 0.1566576432565211, 
x = `, y = 2, y_pred = ['2'], weight = 0.16248851258564662, 
x = 2, y = 2, y_pred = ['`'], weight = 0.26132128871082877, 
x = 2, y = `, y_pred = ['`'], weight = 0.18510580543725175, 
x = `, y = 2, y_pred = ['2'], weight = 0.11940449182692164, 
x = 2, y = 3, y_pred = ['`'], weight = 0.11008328936142124, 
x = 3, y = `, y_pred = ['`'], weight = 0.23108383724241538, 
x = `, y = 2, y_pred = ['2'], weight = 0.11768610534216038, 
x = 2, y = 4, y_pred = ['`'], weight = 0.11764511988722032, 
x = 4, y = `, y_pred = ['`'], weight = 0.2333400091658129, 
x = `, y = 2, y_pred = ['2'], weight = 0.11932795610454791, 
x = 2, y = 5, y_pred = ['`'], weight = 0.11169271852951992, 
x = 5, y = `, y_pred = ['`'], weight = 0.23430596971576276, 
x = `, y = 2, y_pred = ['2'], weight = 0.11975878179628732, 
x = 2, y = 6, y_pred = ['`'], weight = 0.10727394673109136, 
x = 6, y = `, y_pred = ['`'], weight = 0.2347002696302929, 
x = `, y = 2, y_pred = ['2'], weight = 0.11982872230057241, 
x = 2, y = 7, y_pred = ['`'], weight = 0.10384816744271386, 
x = 7, y = `, y_pred = ['`'], weight = 0.2348372754148214, 
x = `, y = 2, y_pred = ['2'], weight = 0.1197610145345126, 
x = 2, y = 8, y_pred = ['`'], weight = 0.10110314502777565, 
x = 8, y = `, y_pred = ['`'], weight = 0.23485213911922845, 
x = `, y = 2, y_pred = ['2'], weight = 0.11963505231112383, 
x = 2, y = 9, y_pred = ['`'], weight = 0.09884658252591044, 
x = 9, y = `, y_pred = ['`'], weight = 0.23472744706883125, 
x = `, y = 3, y_pred = ['2'], weight = 0.19182502823955508, 
x = 3, y = 0, y_pred = ['`'], weight = 0.15158920106759807, 
x = 0, y = `, y_pred = ['`'], weight = 0.15984133117657612, 
x = `, y = 3, y_pred = ['1'], weight = 0.1063492479148766, 
x = 3, y = 1, y_pred = ['`'], weight = 0.14878597206898347, 
x = 1, y = `, y_pred = ['`'], weight = 0.1515681972171617, 
x = `, y = 3, y_pred = ['3'], weight = 0.1048906551178924, 
x = 3, y = 2, y_pred = ['`'], weight = 0.10976368010709053, 
x = 2, y = `, y_pred = ['`'], weight = 0.16456360535966333, 
x = `, y = 3, y_pred = ['3'], weight = 0.15259352084045058, 
x = 3, y = 3, y_pred = ['`'], weight = 0.23924362719696063, 
x = 3, y = `, y_pred = ['`'], weight = 0.18078285038712683, 
x = `, y = 3, y_pred = ['3'], weight = 0.11701723832835283, 
x = 3, y = 4, y_pred = ['`'], weight = 0.0905315566331794, 
x = 4, y = `, y_pred = ['`'], weight = 0.22828624292928276, 
x = `, y = 3, y_pred = ['3'], weight = 0.1175044766719488, 
x = 3, y = 5, y_pred = ['`'], weight = 0.09635759906995628, 
x = 5, y = `, y_pred = ['`'], weight = 0.2293491084518397, 
x = `, y = 3, y_pred = ['3'], weight = 0.11819627001867328, 
x = 3, y = 6, y_pred = ['6'], weight = 0.09480141667529356, 
x = 6, y = `, y_pred = ['`'], weight = 0.2298308506158613, 
x = `, y = 3, y_pred = ['3'], weight = 0.11830154161666188, 
x = 3, y = 7, y_pred = ['7'], weight = 0.09464865347960408, 
x = 7, y = `, y_pred = ['`'], weight = 0.23003105251859288, 
x = `, y = 3, y_pred = ['3'], weight = 0.11821420332647185, 
x = 3, y = 8, y_pred = ['8'], weight = 0.09447512366291311, 
x = 8, y = `, y_pred = ['`'], weight = 0.23010489178863683, 
x = `, y = 3, y_pred = ['3'], weight = 0.11806583609740018, 
x = 3, y = 9, y_pred = ['9'], weight = 0.09430993356464792, 
x = 9, y = `, y_pred = ['`'], weight = 0.23014487800348354, 
x = `, y = 4, y_pred = ['3'], weight = 0.16483833003177087, 
